subject	target	isReward	GroupCount	mean_guessPupilArea	mean_outcomePupilArea	condition
228	VLPFC	1	48	1468.706419	1591.459721	VLPFC_reward
228	VLPFC	0	48	1500.803055	1650.342273	VLPFC_punish
228	RTPJ	1	48	1419.483682	1541.640571	RTPJ_reward
228	RTPJ	0	48	1492.83007	1663.821433	RTPJ_punish
230	VLPFC	1	48	1860.676152	2162.387199	VLPFC_reward
230	VLPFC	0	48	1822.282344	2160.867964	VLPFC_punish
230	RTPJ	1	48	1656.977714	1942.35348	RTPJ_reward
230	RTPJ	0	48	1944.840743	2316.195175	RTPJ_punish
231	VLPFC	1	48	1299.673334	1395.083038	VLPFC_reward
231	VLPFC	0	48	1392.55192	1529.120081	VLPFC_punish
231	RTPJ	1	48	1327.833583	1386.364503	RTPJ_reward
231	RTPJ	0	47	1308.31255	1456.509154	RTPJ_punish
232	VLPFC	1	64	1149.654129	1123.916434	VLPFC_reward
232	VLPFC	0	64	1386.185455	1470.500877	VLPFC_punish
232	RTPJ	1	63	1146.584072	1123.347504	RTPJ_reward
232	RTPJ	0	64	1270.796811	1317.408737	RTPJ_punish
233	VLPFC	1	32	1468.361474	1450.473633	VLPFC_reward
233	VLPFC	0	30	1470.35787	1547.794288	VLPFC_punish
233	RTPJ	1	32	1209.339026	1237.730819	RTPJ_reward
233	RTPJ	0	32	1444.474851	1551.474279	RTPJ_punish
234	VLPFC	1	48	2919.857074	2729.973761	VLPFC_reward
234	VLPFC	0	47	3004.145634	2847.087801	VLPFC_punish
234	RTPJ	1	48	2801.800586	2599.28927	RTPJ_reward
234	RTPJ	0	46	2957.905723	2830.695093	RTPJ_punish
235	VLPFC	1	48	1437.491809	1551.406512	VLPFC_reward
235	VLPFC	0	45	1488.000351	1659.725489	VLPFC_punish
235	RTPJ	1	46	1387.868829	1479.457144	RTPJ_reward
235	RTPJ	0	44	1529.490167	1676.964044	RTPJ_punish
236	VLPFC	1	48	1251.827105	1234.403096	VLPFC_reward
236	VLPFC	0	48	1382.769338	1465.939224	VLPFC_punish
